Institution Name,City,State,Size: Annual Unduplicated Headcount,Percent Part-Time,Percent Non-Traditional Age (25 and Older),Percent Minority,Percent of First-Time Undergrads who are Full-Time,First-Year Retention Rate,Three-Year Graduation Rate,Credentials Awarded per 100 FTE Students,"Percent of Undergrads Receiving Pell, 2011-12","latitude,longitude"
South Central Louisiana Technical College-Young Memorial Campus,Morgan City,LA,7350,75.7,29.8,41,69.3,57.3,43.3,39.3,19.5,"29.699375,-91.20677"
South Louisiana Community College,Lafayette,LA,6119,50.2,20.2,33.6,69.7,48.5,14.3,27.4,26.4,"30.218469,-92.051062"
Southern University at Shreveport,Shreveport,LA,3743,36.5,49,85.2,89,49.3,13.2,26.9,70,"32.544676,-93.834374"
Sowela Technical Community College,Lake Charles,LA,4055,39.4,28.2,33.8,78.1,51.1,37.5,62.5,43.8,"30.218227,-93.161743"
Berkshire Community College,Pittsfield,MA,3318,59.7,44.3,12.1,62.8,56.5,41.9,32.4,57.1,"42.459521,-73.315469"
Bristol Community College,Fall River,MA,11949,50.9,35.8,12.8,75.9,57.5,29.4,32.9,42.9,"41.720603,-71.120342"
Bunker Hill Community College,Boston,MA,18746,65.3,48.4,41.3,53,59.4,28.9,21.5,50.1,"42.368336,-71.038461"
Cape Cod Community College,West Barnstable,MA,6284,62.2,43.1,9.7,58.5,50.6,29.3,33.2,34.1,"41.692698,-70.3393"
Greenfield Community College,Greenfield,MA,3244,59.2,42.9,8.4,54.7,54.9,39,37.9,52.4,"42.599721,-72.630981"
Holyoke Community College,Holyoke,MA,9425,49.9,35.2,26.3,70.8,55.4,40.1,35.9,49.4,"42.1954,-72.6503"
Massachusetts Bay Community College,Wellesley Hills,MA,8067,59.7,41.3,26.2,60.4,45,42.4,26.5,33.3,"42.30843,-71.278668"
Massasoit Community College,Brockton,MA,11784,55.9,39.4,28.5,74.4,58.4,38.3,30.6,39.6,"42.07561,-70.990271"
Middlesex Community College,Bedford,MA,13364,60,33.8,22,64.7,53.2,37.4,32.8,32.9,"42.524639,-71.273922"
Mount Wachusett Community College,Gardner,MA,6613,57.6,47.1,20.5,65.8,51.3,35.1,32.7,45.2,"42.593884,-71.985331"
North Shore Community College,Danvers,MA,11187,57.8,41.1,26.9,61.5,58.5,35.3,31.2,43.1,"42.589735,-70.967311"
Northern Essex Community College,Haverhill,MA,9632,64.3,39.4,33.8,56.5,51.3,37.1,30.8,65.1,"42.797271,-71.050868"
Quincy College,Quincy,MA,7372,61.7,49.9,23,59.2,56.8,26.3,33.5,33.7,"42.252371,-71.003452"
Quinsigamond Community College,Worcester,MA,12135,56.2,38.6,25.2,66.5,53.1,31.5,32.4,43.9,"42.314198,-71.794127"
Roxbury Community College,Roxbury Crossing,MA,3912,62,39.9,63,46.9,44.6,14.4,29.6,64.6,"42.329447,-71.095646"
Springfield Technical Community College,Springfield,MA,9286,56.3,47.1,35.9,62.2,53.3,36.2,37.3,53.6,"42.108785,-72.578582"
Allegany College of Maryland,Cumberland,MD,4769,49.4,29,9.5,73.7,53.7,31.8,51.3,44.1,"39.652756,-78.729712"
Anne Arundel Community College,Arnold,MD,26080,70.3,42.1,23.9,58.9,56.7,29.3,31.5,26.2,"39.049869,-76.513563"
Baltimore City Community College,Baltimore,MD,9830,56.2,57.1,78.7,54.7,38.9,19.9,20.4,61.7,"39.319971,-76.662568"
Carroll Community College,Westminster,MD,5473,59.2,29.9,6.3,67.5,62,37,40.1,23.7,"39.575379,-76.995815"
Cecil College,North East,MD,3439,65.9,33.1,13.8,40.9,45.5,15.2,35.1,30.2,"39.641041,-75.956458"
Chesapeake College,Wye Mills,MD,3923,66.6,34.1,20.6,55.9,53.4,28.7,30.2,41.3,"38.952458,-76.084049"
College of Southern Maryland,La Plata,MD,12722,61.9,34.8,29.8,57.6,51.4,21.8,40.8,24,"38.559479,-77.008945"
Frederick Community College,Frederick,MD,9012,63.3,38,19.9,62.2,57.7,51.2,40.9,21.6,"39.451335,-77.417124"
Garrett College,McHenry,MD,1069,21.7,19.4,20.1,98.5,54.8,39.1,30.8,60.1,"39.561897,-79.340219"
Hagerstown Community College,Hagerstown,MD,7024,68.9,41,16,46.8,56.8,49.5,36.9,38.7,"39.631864,-77.668628"
Harford Community College,Bel Air,MD,9732,59.1,33,19.4,67.6,60,43.6,33.6,26.8,"39.560857,-76.283316"
Howard Community College,Columbia,MD,14149,63.2,38.7,34.3,64.1,59.6,30.8,28.3,26,"39.213108,-76.878582"
Montgomery College,Rockville,MD,37390,64,35.1,41.4,56.4,60.3,45.3,26.1,27.9,"39.097075,-77.153979"
Prince George's Community College,Largo,MD,20785,68.5,48.2,83.2,42.5,50.5,27.4,19.7,39,"38.889458,-76.824886"
The Community College of Baltimore County,Baltimore,MD,35522,65.8,45.4,40.6,51.7,51.1,21.4,27.3,46.8,"39.353097,-76.48217"
Wor-Wic Community College,Salisbury,MD,5397,67,42.9,26.7,57.1,50,43.3,32.3,51.1,"38.373657,-75.502644"
Central Maine Community College,Auburn,ME,4225,50.9,40.9,3.6,71.9,64.1,41,46.9,54.2,"44.132179,-70.232179"
Eastern Maine Community College,Bangor,ME,3318,39,33.8,1.5,82.3,53.8,43.1,42,41.2,"44.825136,-68.74354"
Kennebec Valley Community College,Fairfield,ME,3737,68.9,46.6,2.4,68.2,61.4,50.5,47.4,52.4,"44.595409,-69.610845"
Northern Maine Community College,Presque Isle,ME,1447,46.1,40.4,4.2,81.2,60.8,49.3,50.8,63.9,"46.694468,-68.034379"
Southern Maine Community College,South Portland,ME,10697,55.7,42,6.1,76.5,51.6,37.1,29.9,42.7,"43.646645,-70.229174"
Washington County Community College,Calais,ME,664,41.1,40.3,5.6,91,53.2,58,62.8,60.8,"45.166978,-67.245065"
York County Community College,Wells,ME,2443,60.2,45.5,3.2,64.2,57.1,27.5,27.4,44.5,"43.306757,-70.590769"
Alpena Community College,Alpena,MI,2626,45.9,32.8,4.2,80.8,56,41.3,50,56.4,"45.081266,-83.444628"
Bay de Noc Community College,Escanaba,MI,3034,46.4,37.8,3.3,76.9,55.2,43.1,51.8,55.3,"45.770236,-87.081146"
Bay Mills Community College,Brimley,MI,730,36,51.8,60.6,71.5,41.2,30.3,16.5,59.3,"46.454657,-84.606642"
Delta College,University Center,MI,16694,60.2,37,17.3,57.4,59.6,34,43.6,48,"43.557742,-83.985812"
Glen Oaks Community College,Centreville,MI,1901,47.9,38.6,10.2,77.1,48.9,41.9,36.6,49.7,"41.892436,-85.496821"
Gogebic Community College,Ironwood,MI,1455,37.1,34.8,5.6,87.6,58.2,57.8,45.4,54.5,"46.472624,-90.16465"
Grand Rapids Community College,Grand Rapids,MI,25162,61.9,36,22.2,57.5,51.3,43.9,29.1,45.9,"42.966057,-85.66692"
Henry Ford Community College,Dearborn,MI,26428,60.8,41.1,35.2,56.3,46.7,42.4,22.2,55.3,"42.311221,-83.176619"
Jackson Community College,Jackson,MI,9515,55.4,44.3,13.7,67.1,51.8,39.2,28.8,58.8,"42.165272,-84.40282"
Kalamazoo Valley Community College,Kalamazoo,MI,16850,59.2,39.7,20.2,52.8,49.7,10.5,26.6,47.2,"42.226416,-85.682124"
Kellogg Community College,Battle Creek,MI,9675,66.3,48.8,13.1,48.1,55.1,26.8,40.1,24.9,"42.333915,-85.179739"
Keweenaw Bay Ojibwa Community College,Baraga,MI,129,50,65,50.4,58.1,37.5,50,10.9,70,"46.780602,-88.507851"
Kirtland Community College,Roscommon,MI,2493,58,47.8,3.7,48,47.3,46.4,44.9,63.3,"44.490709,-84.414656"
Lake Michigan College,Benton Harbor,MI,6550,65.6,38.7,23.9,60.9,48.7,30.3,32.2,44.3,"42.096709,-86.392754"
Lansing Community College,Lansing,MI,27811,71.6,39.3,15.1,31,44.9,49.8,25.6,44.9,"42.738779,-84.553013"
Macomb Community College,Warren,MI,35209,64.8,35.8,15.3,53.9,65.5,40.3,36.8,23.3,"42.505307,-82.974789"
Mid Michigan Community College,Harrison,MI,7104,55.1,31.9,5.9,57.3,49.3,27.1,21,58.2,"43.969752,-84.763544"
Monroe County Community College,Monroe,MI,6090,61.5,35.2,7.1,46.3,50.9,46.9,34.8,38.2,"41.916789,-83.469023"
Montcalm Community College,Sidney,MI,2796,66.2,40.6,0.9,57,44.8,40.6,27.7,70.1,"43.253158,-85.100167"
Mott Community College,Flint,MI,17045,65.4,48.5,26.9,45.7,48.1,32.6,53.6,58.5,"43.019969,-83.672401"
Muskegon Community College,Muskegon,MI,7331,63.4,35.2,17.8,57.8,50.5,47.9,27.1,47.3,"43.24831,-86.196788"
North Central Michigan College,Petoskey,MI,4295,64.8,47.2,7.5,44.1,53.5,30.3,35.2,43.6,"45.355874,-84.945851"
Northwestern Michigan College,Traverse City,MI,6290,55.5,42,5.6,68.7,54.5,37.8,36.9,44.6,"44.765361,-85.585899"
Oakland Community College,Bloomfield Hills,MI,46007,67,43.2,28.9,49.1,52.1,42.4,23.6,38.2,"42.595414,-83.244784"
Saginaw Chippewa Tribal College,Mount Pleasant,MI,172,61.7,54.4,89.5,43.8,39.2,0,32.9,29.3,"43.607113,-84.732485"
Schoolcraft College,Livonia,MI,21006,62.8,38.3,18.1,56.8,65,48.6,29,35.9,"42.42144,-83.431246"
Southwestern Michigan College,Dowagiac,MI,4073,50.5,36.1,13.8,73.2,52.8,33.4,29.3,56.8,"41.964531,-86.082816"
St Clair County Community College,Port Huron,MI,6356,57.3,35.9,7.8,70.7,55.8,26.5,37.8,43.4,"42.978203,-82.427982"
Washtenaw Community College,Ann Arbor,MI,20860,66.1,43.3,20,47,56.7,41.1,27.5,39.1,"42.264352,-83.664622"
Wayne County Community College District,Detroit,MI,28677,78.9,51.7,67.3,27.3,42.6,24.2,21.9,65,"42.420882,-83.222157"
West Shore Community College,Scottville,MI,2154,63.4,38.7,8,66,62.4,40.9,38.1,48,"44.009174,-86.340034"
Alexandria Technical & Community College,Alexandria,MN,4095,44.3,26.3,3.3,93,65.5,68.2,46.4,33,"45.870398,-95.372035"
Anoka Technical College,Anoka,MN,3366,57.8,57.7,12.8,71.3,46.4,46.2,36.4,45,"45.216802,-93.417019"
Anoka-Ramsey Community College,Coon Rapids,MN,12256,61,34.4,11.2,64.8,45.8,59,30.6,33.5,"45.172685,-93.352665"
Central Lakes College-Brainerd,Brainerd,MN,6253,48.8,28.6,4.4,80.3,56.3,59.3,42.3,41.6,"46.34595,-94.216417"
Century Community and Technical College,White Bear Lake,MN,14968,57.3,41.9,16.7,60.4,50.3,42.6,32.2,45.5,"45.085381,-93.008148"
Dakota County Technical College,Rosemount,MN,5665,57.3,58.9,10.2,70.9,58.2,52.8,40.3,32.4,"44.738076,-93.078811"
Fond du Lac Tribal and Community College,Cloquet,MN,2888,59,22.5,16.6,89.9,49.9,43.5,37.4,35.8,"46.689994,-92.451894"
Hennepin Technical College,Brooklyn Park,MN,9609,64.3,61.8,24.4,44.2,54.2,43.9,34.4,43.8,"45.096667,-93.397586"
Hibbing Community College-A Technical and Community College,Hibbing,MN,2040,33.9,39,7.4,89.4,50.6,55.7,43.7,57.8,"47.427155,-92.937689"
Inver Hills Community College,Inver Grove Heights,MN,9852,62.2,44,17.2,60.8,53.3,51.4,33.4,33.1,"44.833468,-93.054879"
Itasca Community College,Grand Rapids,MN,1612,26.4,28.8,7.4,91.6,57.7,63.8,48.5,46.9,"47.241941,-93.496106"
Lake Superior College,Duluth,MN,8983,56.4,40.8,5.7,65.3,51.3,52.2,41.8,38.3,"46.784644,-92.145164"
Mesabi Range Community and Technical College,Virginia,MN,2345,44.8,29.5,8.4,89.4,56.5,64.3,41.8,41.1,"47.525039,-92.55079"
Minneapolis Community and Technical College,Minneapolis,MN,14072,62.7,53.1,42.2,51.7,47.4,37.6,27.7,55.9,"44.972586,-93.283689"
Minnesota State College-Southeast Technical,Winona,MN,3152,43.3,44.3,6.6,73.6,56.8,51.7,41.1,51.9,"44.024584,-91.618721"
Minnesota State Community and Technical College,Fergus Falls,MN,9063,50.4,34.1,10.6,75.9,54.3,54.6,48.8,43.6,"46.290078,-96.099351"
Minnesota West Community and Technical College,Granite Falls,MN,5264,58.2,47.7,8.6,80.9,63.9,60.9,45.3,38.1,"44.807177,-95.559759"
Normandale Community College,Bloomington,MN,14595,56.3,34.1,19.3,64.5,51.4,57,28,35.7,"44.828958,-93.331041"
North Hennepin Community College,Brooklyn Park,MN,10671,68,47.6,24.1,48.3,54.2,47.6,34.2,43.3,"45.107151,-93.374385"
Northland Community and Technical College,Thief River Falls,MN,5328,55.4,41.5,11.7,77.4,51.1,50.7,50.9,38.3,"48.125516,-96.160293"
Northwest Technical College,Bemidji,MN,2361,63,48.9,13.6,75.9,53.5,54.7,54.8,41.8,"47.452311,-94.854448"
Pine Technical College,Pine City,MN,1849,73.3,41.4,4.9,40.3,51.7,58.5,28,45.7,"45.819098,-92.968918"
Rainy River Community College,International Falls,MN,452,29.8,20.7,19.3,86.1,53.1,65.1,48.8,38,"48.590065,-93.430906"
Ridgewater College,Willmar,MN,5762,38.9,37.9,8,86.8,60.2,57.7,47.8,43,"45.139354,-95.072286"
Riverland Community College,Austin,MN,4932,60.9,47.1,12.2,75.4,55.6,55,36.1,34.2,"43.67623,-92.99881"
Rochester Community and Technical College,Rochester,MN,8207,49.4,39.4,12.9,80.5,52.9,49.8,40.2,37.8,"44.013935,-92.422751"
Saint Paul College-A Community and Technical College,Saint Paul,MN,9855,59.5,56.8,40.6,54.2,48.8,46.7,26.2,59.2,"44.953703,-93.089958"
South Central College,North Mankato,MN,6152,52.3,47.6,9.5,81.7,57.4,45.1,36.2,39.7,"44.174667,-94.045915"
St Cloud Technical and Community College,Saint Cloud,MN,6195,48.8,33.8,9.6,64.9,54.8,63.5,42.1,47.5,"45.578964,-94.176308"
Vermilion Community College,Ely,MN,976,29.1,10.7,6.9,96.7,53.2,67,37.1,37.6,"47.905299,-91.837968"
Crowder College,Neosho,MO,7208,54,34.9,8.6,74.4,50.9,40,32.8,47.8,"36.814738,-94.36825"
East Central College,Union,MO,5821,48.9,32.1,2.1,79.5,56.1,44.2,29,48.2,"38.429674,-90.976093"
Jefferson College,Hillsboro,MO,7996,49,39.4,3.5,79,55.9,45.9,36.3,49,"38.257074,-90.559795"
Linn State Technical College,Linn,MO,1343,14.3,14.8,2.3,96.4,76.2,62,61.6,39.4,"38.466417,-91.813409"
Metropolitan Community College-Blue River,Independence,MO,33031,57.5,36.7,25.1,63.1,49.8,35.3,30.6,58.1,"39.082516,-94.339277"
Metropolitan Community College-Business & Technology,Kansas City,MO,33031,69.7,70.7,25.1,56.9,34.8,59.4,32.6,58.1,"39.099727,-94.578567"
Metropolitan Community College-Longview,Lees Summit,MO,33031,57.6,32.7,25.1,65.3,46.1,29.5,29.7,58.1,"38.908739,-94.454717"
Metropolitan Community College-Maple Woods,Kansas City,MO,33031,60.2,31.3,25.1,65,44.6,28.4,29.3,58.1,"39.099727,-94.578567"
Metropolitan Community College-Penn Valley,Kansas City,MO,33031,69.7,60.7,25.1,39.4,39.5,24.5,31,58.1,"39.069374,-94.593035"
Mineral Area College,Park Hills,MO,5164,39,33.9,3.5,86.9,62.5,44.7,34.5,55.5,"37.842294,-90.48091"
Missouri State University-West Plains,West Plains,MO,2705,40.1,37.8,4.7,93,53.3,51.3,38.9,73.6,"36.729471,-91.857137"
Moberly Area Community College,Moberly,MO,8082,47.5,29.4,11.9,76,46.4,54.7,33.3,50,"39.419521,-92.453265"
North Central Missouri College,Trenton,MO,2267,45.2,32.2,3.4,83.9,63,54.6,40.8,47.8,"40.07806,-93.618373"
Ozarks Technical Community College,Springfield,MO,20355,50.9,38.6,5.6,72.5,52.7,34.3,27.1,56.3,"37.2152,-93.282606"
Saint Louis Community College,Saint Louis,MO,42712,56.8,45.1,38,62.4,47.1,33.7,21.2,49.9,"38.628402,-90.277851"
St Charles Community College,Cottleville,MO,11515,49.1,30,9.2,76.5,56.8,45.1,24.8,28.9,"38.762555,-90.640555"
State Fair Community College,Sedalia,MO,7015,43.3,37.2,7.7,77.9,53.8,45.3,33.2,57.2,"38.696979,-93.266631"
Three Rivers Community College,Poplar Bluff,MO,5968,40,37.3,13.4,81.1,51.1,31.9,27.2,61,"36.776558,-90.430513"
Coahoma Community College,Clarksdale,MS,3410,13.8,41.3,95.6,94.4,55.1,38,27.2,94,"34.253346,-90.569523"
Copiah-Lincoln Community College,Wesson,MS,4939,18.7,28.3,47.5,95.8,57,42.5,42,61.8,"31.691416,-90.398415"
East Central Community College,Decatur,MS,3745,39.2,37.9,45.9,67.8,61.1,50.1,31,63.3,"32.440603,-89.112751"
East Mississippi Community College,Scooba,MS,8215,43.8,34.1,54.2,66.1,57,52.9,20.3,74.5,"32.828971,-88.487609"
Hinds Community College,Raymond,MS,16844,38.9,40.2,63.3,82.3,54.4,39.5,28.4,71.2,"32.256589,-90.416786"
Holmes Community College,Goodman,MS,9795,29.7,36.2,49.1,78.1,49.9,56.9,28.1,59.9,"32.970499,-89.917147"
Itawamba Community College,Fulton,MS,9492,26.7,38,35.7,86.3,60.6,52.4,38.9,69.2,"34.276794,-88.412234"
Jones County Junior College,Ellisville,MS,6020,18.7,22.4,32.3,81.8,55.5,42.9,34.7,54,"31.594952,-89.200751"
Meridian Community College,Meridian,MS,5384,26.9,36.8,49.3,76.2,44.8,40.3,43.4,60.2,"32.367469,-88.73316"
Mississippi Delta Community College,Moorhead,MS,4642,17.7,28.8,65.3,96.2,54.3,29.9,37.8,75.1,"33.444353,-90.500978"
Mississippi Gulf Coast Community College,Perkinston,MS,15097,29.8,36.3,26,80.8,54.8,44.9,42.3,46.5,"30.784178,-89.136514"
Northeast Mississippi Community College,Booneville,MS,4413,14.4,22.1,19.6,93.3,63.4,47,31.7,66.1,"34.667135,-88.56255"
Northwest Mississippi Community College,Senatobia,MS,11433,25.4,34.6,33.8,86.5,63.6,37.2,28.1,60,"34.625305,-89.970132"
Pearl River Community College,Poplarville,MS,7797,30.9,32.4,38.7,72.2,49.2,63.9,46.1,64.2,"30.844267,-89.543039"
Southwest Mississippi Community College,Summit,MS,2815,13.3,28.3,45.4,97.8,54.6,55.9,39.1,67.8,"31.297522,-90.440033"
Chief Dull Knife College,Lame Deer,MT,539,52.7,13.4,86.5,87.3,58.6,57.9,22.4,32.9,"45.625397,-106.66443"
Dawson Community College,Glendive,MT,954,36.1,34.3,6.9,96.1,61.1,69.6,50.7,36.6,"47.085564,-104.72414"
Flathead Valley Community College,Kalispell,MT,4039,48.2,49,4.9,76.2,51.6,39,35.5,45,"48.226009,-114.329735"
Fort Belknap College,Harlem,MT,213,14.8,50.3,92,97.1,54.4,50.9,24,76.9,"48.482339,-108.764939"
Fort Peck Community College,Poplar,MT,702,39.6,50,82.5,91.6,29.1,15.8,24.2,36.8,"48.113611, -105.192778"
Little Big Horn College,Crow Agency,MT,545,34.2,42.1,97.3,73.3,38.5,17.9,30.1,60.4,"45.603859,-107.45697"
Miles Community College,Miles City,MT,749,34.6,30.8,7.3,92,61.3,66.4,47.5,45.6,"46.404367,-105.827601"
Montana State University-Great Falls College of Technology,Great Falls,MT,2773,48.1,50.7,12.6,65.9,47.8,34.6,41.1,57.1,"47.494184,-111.283345"
Montana Tech-College of Technology,Butte,MT,976,39.9,27.1,5.5,91.2,52.3,30.3,29,41.6,"45.938188,-112.509065"
Stone Child College,Box Elder,MT,1249,48.5,55.6,90,66.7,31.3,12.7,13.8,45.6,"48.289573,-109.870933"
University of Montana-Helena College of Technology,Helena,MT,2096,51.3,46.4,7.8,70.9,55.1,44.7,36.2,49.5,"46.595648,-112.015777"
Alamance Community College,Graham,NC,7271,69.3,45.8,29.9,65,57.9,38.3,27,53.3,"36.066411,-79.357746"
Asheville-Buncombe Technical Community College,Asheville,NC,11124,67.2,46.5,11,56.3,56.7,35.6,23.4,39.8,"35.570005,-82.554155"
Beaufort County Community College,Washington,NC,2488,48.4,44.8,38.3,77.2,52.6,17.8,25,56.1,"35.53444,-76.965026"
Bladen Community College,Dublin,NC,2181,51.2,54.8,58.5,61.3,60.3,42.2,22.2,78.5,"34.644272,-78.730023"
Blue Ridge Community College,Flat Rock,NC,3246,67.7,43.1,12.2,59.4,62.1,43.2,21.1,42.5,"35.307686,-82.425358"
Brunswick Community College,Bolivia,NC,2265,55.3,38.7,18,56.5,48.6,23.1,28.8,40.9,"34.067672,-78.148328"
Caldwell Community College and Technical Institute,Hudson,NC,6218,52.1,38.8,10.9,69.1,53.9,24.3,33,48.1,"35.854554,-81.48389"
Cape Fear Community College,Wilmington,NC,14397,55.8,39.9,22.8,69.8,59.8,55.1,25.9,45.6,"34.240331,-77.949114"
Carteret Community College,Morehead City,NC,2556,52.9,49.2,12.8,69.2,47.6,47.6,31.1,51.8,"34.723819,-76.757458"
Catawba Valley Community College,Hickory,NC,7550,62.7,39.7,16.6,57.8,66.3,10.2,26.9,44.3,"35.699972,-81.288059"
Central Carolina Community College,Sanford,NC,6879,56.8,49.3,33.5,66.2,47.3,49.7,28.1,38.8,"35.471061,-79.145276"
Central Piedmont Community College,Charlotte,NC,31260,61.1,47,40.9,54,52.9,34.5,19.3,41.8,"35.218145,-80.83129"
Cleveland Community College,Shelby,NC,4867,44.1,44.4,28.2,67,49.7,55.5,17.6,55.5,"35.280888,-81.492076"
Coastal Carolina Community College,Jacksonville,NC,7695,54.8,46.5,30.6,59.2,49.1,47.2,28.1,48.2,"34.772408,-77.384004"
College of the Albemarle,Elizabeth City,NC,3995,58.6,40.1,24.1,54.3,78.8,31.2,28.4,39.1,"36.324982,-76.220223"
Craven Community College,New Bern,NC,5273,61.1,49.5,28.8,52.9,53.2,41.1,26.5,46,"35.11079,-77.101973"
Davidson County Community College,Thomasville,NC,5856,53.2,51.3,22.1,64.4,58,52,28.1,73.8,"35.867453,-80.180532"
Durham Technical Community College,Durham,NC,8106,72.3,59.3,53.1,47.3,45.7,26.8,20.6,37.6,"35.975208,-78.880843"
Edgecombe Community College,Tarboro,NC,4790,54.6,61.3,65.8,66.9,48.1,50.1,21.8,67.8,"35.878952,-77.573275"
Fayetteville Technical Community College,Fayetteville,NC,18831,59.4,59.7,52.5,56.7,54.9,9.1,17.7,56.9,"35.066599,-78.926068"
Forsyth Technical Community College,Winston Salem,NC,14875,50.5,48.1,38,63.9,56.8,17.1,23,48.5,"36.068636,-80.271724"
Gaston College,Dallas,NC,8830,63.8,47,21.8,50.6,54.1,21,30.2,44.4,"35.311343,-81.189903"
Guilford Technical Community College,Jamestown,NC,19780,41.9,48.2,52.6,69.9,53.9,26.7,23,63.8,"35.998587,-79.920502"
Halifax Community College,Weldon,NC,2253,36.4,49.1,62.5,79.3,56.6,44.5,21.8,71.1,"36.428399,-77.618174"
Haywood Community College,Clyde,NC,3617,63.6,42.9,11.1,41.7,57.4,30.5,25.6,64.7,"35.525938,-82.927916"
Isothermal Community College,Spindale,NC,3781,50,40.2,17.8,77.1,51.8,15.2,24.2,51.5,"35.337435,-81.911191"
James Sprunt Community College,Kenansville,NC,2014,50.2,40.9,53.2,70.1,50.1,46.1,31,59.2,"34.94703,-77.977084"
Johnston Community College,Smithfield,NC,5382,46.9,45.6,29.1,76.1,49.1,46.7,24,51.2,"35.501421,-78.331593"
Lenoir Community College,Kinston,NC,5618,56.3,40,40.9,84.3,45.8,10.3,24.5,43.8,"35.23565,-77.572046"
Martin Community College,Williamston,NC,1000,40.2,43.2,45.3,80.7,50.3,18.7,22,59.4,"35.836326,-77.094937"
Mayland Community College,Spruce Pine,NC,1851,72.4,29.1,2.5,47.2,74,52.2,22.5,41.8,"35.934034,-82.016913"
McDowell Technical Community College,Marion,NC,1984,56.3,46.2,9.1,73.5,48.9,46.4,29.1,52.5,"35.656295,-81.962436"
Mitchell Community College,Statesville,NC,4968,52.1,38.2,25.1,76.2,56,39.7,23.3,47.5,"35.783172,-80.892905"
Montgomery Community College,Troy,NC,1176,50.4,53.7,26.9,77.8,47.6,29.5,24.7,49.8,"35.366977,-79.869704"
Nash Community College,Rocky Mount,NC,5169,52.3,42.1,43.2,81.9,50.3,7,21.9,45.3,"35.977413,-77.898258"
Pamlico Community College,Grantsboro,NC,701,49,51.5,32.2,61.8,28.3,78.7,24.3,55,"35.140442,-76.842436"
Piedmont Community College,Roxboro,NC,3043,53.9,43.8,40.7,72.3,29.5,57.7,23,47.9,"36.431842,-78.980434"
Pitt Community College,Winterville,NC,13004,61.3,40.1,25.7,54.1,57.5,45.6,24.6,72.3,"35.548468,-77.406366"
Randolph Community College,Asheboro,NC,3756,48.5,41.2,16.5,53.9,56.1,41.6,28.8,50.2,"35.672757,-79.826976"
Richmond Community College,Hamlet,NC,3327,44.9,45.9,52,62.5,56.5,44.4,22.7,71.5,"34.903202,-79.710102"
Roanoke-Chowan Community College,Ahoskie,NC,1133,47.5,43.8,68.5,72.9,52.6,13.5,20.4,77.2,"36.325189,-77.022622"
Robeson Community College,Lumberton,NC,3635,56.7,48.9,76,57.1,56.6,33.7,26.8,77.6,"34.675582,-79.008292"
Rockingham Community College,Wentworth,NC,3226,57,40.3,26.7,62.1,58.3,15.7,23.3,50.4,"36.385503,-79.758958"
Rowan-Cabarrus Community College,Salisbury,NC,9695,57.4,45.7,31.4,50.8,52.6,30.8,23.1,56.2,"35.640175,-80.480484"
Sampson Community College,Clinton,NC,2006,52.8,40.2,47.3,73.5,48.6,43.2,29.3,65.2,"34.990404,-78.360152"
Sandhills Community College,Pinehurst,NC,5697,47.2,42.4,35.6,73.2,51.2,22.4,25.1,48.3,"35.219259,-79.405317"
South Piedmont Community College,Polkton,NC,3824,72.7,45,30.8,27.2,48.5,30.7,23.5,63.5,"35.000311,-80.211187"
Southeastern Community College,Whiteville,NC,2870,69.2,44.4,42.2,36,47.9,33.9,18.2,60.8,"34.332296,-78.783839"
Southwestern Community College,Sylva,NC,3326,63.6,39,13.1,69.5,48.7,18.2,33.2,41.6,"35.347377,-83.2053"
Stanly Community College,Albemarle,NC,4728,55.2,50.9,21.7,70.2,53,33.6,28.7,73.6,"35.339704,-80.236732"
Surry Community College,Dobson,NC,4691,49.8,33.3,9.7,77.5,64.9,45.1,30.4,41.7,"36.384417,-80.720056"
Tri-County Community College,Murphy,NC,1977,54.8,43.5,5,76,52,51.9,26.6,54.8,"35.068507,-83.96715"
Vance-Granville Community College,Henderson,NC,5517,70.8,43.9,42.9,43,52.8,42.4,22.2,50.2,"36.321831,-78.487294"
Wake Technical Community College,Raleigh,NC,27669,71.4,46,31.4,40.7,58.7,26.2,19.3,36.1,"35.650728,-78.704059"
Wayne Community College,Goldsboro,NC,5160,58,40.2,36,63.1,62.1,41.2,26.7,64,"35.402985,-77.945765"
Western Piedmont Community College,Morganton,NC,3991,45.5,47.9,13,73.8,62.6,25,43.2,64.4,"35.722127,-81.687781"
Wilkes Community College,Wilkesboro,NC,3553,37,38.9,9.7,89.4,62.1,38.5,31.5,58,"36.136981,-81.183668"
Wilson Community College,Wilson,NC,3073,51.4,50.8,50.9,76.7,48,21.5,20.9,52.7,"35.72921,-77.895675"
Cankdeska Cikana Community College,Fort Totten,ND,359,38.8,58.5,91.6,79.6,32.7,17.9,35.5,71.2,"47.978123,-98.990415"
Dakota College at Bottineau,Bottineau,ND,1057,49,37.2,10.6,91.3,46.1,62.2,45.1,33.6,"48.83231,-100.441152"
Lake Region State College,Devils Lake,ND,3322,74.8,23.1,9.7,86.3,55.6,63.6,33.6,15.6,"48.126643,-98.86596"
North Dakota State College of Science,Wahpeton,ND,3748,42.7,19.1,7.8,93.5,67.9,45,54,31.1,"46.280758,-96.612633"
Williston State College,Williston,ND,1293,58.2,26.2,6.3,91.1,54.1,44,58.4,21.6,"48.15892,-103.612546"
Central Community College,Grand Island,NE,13092,64.3,35.1,12.6,79.3,57.5,38,34.1,30.4,"40.889062,-98.370939"
