Institution Name,City,State,Size: Annual Unduplicated Headcount,Percent Part-Time,Percent Non-Traditional Age (25 and Older),Percent Minority,Percent of First-Time Undergrads who are Full-Time,First-Year Retention Rate,Three-Year Graduation Rate,Credentials Awarded per 100 FTE Students,"Percent of Undergrads Receiving Pell, 2011-12","latitude,longitude"
Hartnell College,Salinas,CA,14202,62.3,40.9,66.1,55.5,42.2,34.6,20.2,30.7,"36.673949,-121.666327"
Imperial Valley College,Imperial,CA,9820,52.2,30.7,87.3,67.3,63.2,32.6,18.4,57.8,"32.827358,-115.504626"
Irvine Valley College,Irvine,CA,20799,69.3,34,21.2,47.8,52.1,55,23.5,11.8,"33.677861,-117.777922"
Lake Tahoe Community College,South Lake Tahoe,CA,5902,71.2,55.3,18,48.4,31.9,68.8,15.6,22.7,"38.925459,-119.969175"
Laney College,Oakland,CA,19943,81.2,49.9,42,21.6,31.5,33,13.8,19.3,"37.797062,-122.263337"
Las Positas College,Livermore,CA,11733,65.9,33.2,28.5,49.2,55.9,48.4,19,19.2,"37.711541,-121.799773"
Lassen Community College,Susanville,CA,5285,75.8,66.8,38.4,27.3,22.1,38.1,27.1,17.4,"40.429945,-120.633652"
Long Beach City College,Long Beach,CA,33504,70.4,43.1,58.6,38.8,44.9,29.4,13.5,45,"33.834081,-118.135672"
Los Angeles City College,Los Angeles,CA,31390,71.3,51,57.3,29.5,44.5,26.4,10.6,30.1,"34.087044,-118.292858"
Los Angeles Harbor College,Wilmington,CA,14553,70.5,35.9,64.7,39.3,53.4,32.5,20.3,32.7,"33.784125,-118.284029"
Los Angeles Mission College,Sylmar,CA,13658,71.9,36.6,75.4,31.9,51.2,22.9,16.6,32.3,"34.315346,-118.419485"
Los Angeles Pierce College,Woodland Hills,CA,27749,71.5,33.2,46.4,28.8,58.7,39.6,16.2,32.6,"34.182671,-118.574813"
Los Angeles Southwest College,Los Angeles,CA,10732,78.1,47,89.5,22.7,38.4,21.5,11.3,39.9,"33.929959,-118.305858"
Los Angeles Trade Technical College,Los Angeles,CA,22192,72,55.3,80.1,24.2,36.3,25,14.4,33.7,"34.03096,-118.270981"
Los Angeles Valley College,Valley Glen,CA,26612,73.4,42,50.6,32.7,51.9,30.7,18.2,33.7,"34.175856,-118.420691"
Los Medanos College,Pittsburg,CA,13340,68.5,34.9,49.5,46.6,47,33.8,18.1,28.7,"38.005303,-121.8608"
Mendocino College,Ukiah,CA,5928,68,48.5,29.5,49.7,36.6,40.4,25.9,34.7,"39.189775,-123.22845"
Merced College,Merced,CA,13883,52.3,31,54.2,59.5,50.7,26.6,18.6,52.7,"37.335649,-120.473301"
Merritt College,Oakland,CA,10222,85,57.6,49,22.1,27.2,24,19.8,23.7,"37.795361,-122.255538"
MiraCosta College,Oceanside,CA,21722,58.7,37.6,31.7,50.9,51.5,49,16.2,9.9,"33.190573,-117.301335"
Mission College,Santa Clara,CA,16238,72.6,54.1,25.6,40.5,47.1,38.1,19.2,26.2,"37.392643,-121.982139"
Modesto Junior College,Modesto,CA,23056,64.5,34.6,41.6,43,60.7,30.3,22.2,39.3,"37.651562,-121.009856"
Monterey Peninsula College,Monterey,CA,18484,75.4,53.2,28.9,32.3,37.7,46.8,16.3,14.5,"36.590291,-121.885411"
Moorpark College,Moorpark,CA,21394,61.7,25.1,27.3,57.2,56.7,58.5,29.2,17.7,"34.299497,-118.837832"
Mt. San Antonio College,Walnut,CA,36309,68.2,29.2,58.4,36.5,66.8,40.5,19.2,36.1,"34.048567,-117.842095"
Mt. San Jacinto Community College District,San Jacinto,CA,19410,66.4,37.4,45.3,29.1,48.5,36.6,31.6,34.1,"33.783908,-116.958635"
Napa Valley College,Napa,CA,8949,62.7,38.6,37.8,48.1,49.3,46.2,33.3,27.2,"38.273988,-122.274558"
Ohlone Community College,Fremont,CA,15841,67,34.9,21.4,48.6,46.8,48.5,13.5,15,"37.54827,-121.988572"
Orange Coast College,Costa Mesa,CA,29351,59.8,29.4,30,49.7,58.1,54.5,22.7,21.1,"33.671943,-117.911877"
Oxnard College,Oxnard,CA,10417,71.5,39.1,67.8,40.9,46.4,40.8,25,39.6,"34.164166,-119.156236"
Palo Verde College,Blythe,CA,4715,84.3,78.8,40.9,17.8,24.2,31.1,22.9,9.7,"33.62209,-114.608155"
Palomar College,San Marcos,CA,35407,65.3,35.2,37.2,49.4,47.5,38.4,29,15.1,"33.150291,-117.183209"
Pasadena City College,Pasadena,CA,32765,65.1,28.7,45.8,41.2,59.4,50.9,22.6,28.8,"34.144599,-118.11823"
Porterville College,Porterville,CA,5892,57.7,36.1,66,56,57.3,29,22.2,53.4,"36.048483,-119.016768"
Reedley College,Reedley,CA,19367,64.4,26.1,55.3,55.1,48.7,31.8,12.5,32.4,"36.605391,-119.460007"
Rio Hondo College,Whittier,CA,29281,72.5,37.5,70.1,38,26.4,24,16.4,28.3,"34.019466,-118.033803"
Riverside City College,Riverside,CA,27237,75.8,29.9,59.1,27.3,41.1,37.1,27.9,33.5,"33.971203,-117.381478"
Sacramento City College,Sacramento,CA,36069,74.5,40.2,36.5,22.8,31.9,35.2,19.7,27,"38.540854,-121.490472"
Saddleback College,Mission Viejo,CA,35011,69.9,37.8,23,44.3,53,49,25.6,12.6,"33.55112,-117.66434"
San Bernardino Valley College,San Bernardino,CA,16565,66.7,41.6,72,40,45.6,25,16.1,28.7,"34.086661,-117.310275"
San Diego City College,San Diego,CA,24688,78,46.7,53.3,35.3,33.5,30.4,14.2,34.1,"32.860556,-117.186356"
San Diego Mesa College,San Diego,CA,35781,75.1,38.2,35.4,31.5,37.5,43.8,14.2,17.2,"32.805031,-117.168808"
San Diego Miramar College,San Diego,CA,20702,83.1,51.4,27.7,32,39.9,46.2,18.7,17.2,"32.90884,-117.120287"
San Joaquin Delta College,Stockton,CA,26015,60.3,34.9,47.8,51.8,63.3,37.5,48.2,39.5,"37.995364,-121.319324"
San Jose City College,San Jose,CA,15072,72.6,49.1,46.7,44.8,37.4,40.7,14.4,24.3,"37.314632,-121.926668"
Santa Ana College,Santa Ana,CA,47065,84.8,59.3,44.8,33.2,42.6,30.7,31.9,12.2,"33.759281,-117.886654"
Santa Barbara City College,Santa Barbara,CA,27205,59.6,34,37,69.1,54.3,62.4,29.4,22,"34.405921,-119.697321"
Santa Monica College,Santa Monica,CA,42660,62.1,28.8,42.4,51.3,54.6,45.9,17.1,25.2,"34.017023,-118.469755"
Santa Rosa Junior College,Santa Rosa,CA,34206,67.7,41.5,26.9,49.3,57.9,43.7,22.1,17.9,"38.453488,-122.723504"
Santiago Canyon College,Orange,CA,20138,78.3,42.2,46.7,44,42.2,44.3,35.3,11.5,"33.795592,-117.766699"
Shasta College,Redding,CA,12481,55.3,40.5,16.3,54.8,42.5,44.2,18.2,35.3,"40.626608,-122.314267"
Sierra College,Rocklin,CA,24750,60.3,36.2,23.8,54.4,53.7,43.3,32,32.1,"38.79142,-121.20969"
Skyline College,San Bruno,CA,16469,73.5,39.8,28.4,40.4,48.7,42,18.9,22.2,"37.628933,-122.467582"
Solano Community College,Fairfield,CA,16207,66.1,39.5,37.2,50.7,47.9,44.9,27.4,26,"38.235783,-122.122317"
Southwestern College,Chula Vista,CA,28546,62.6,34.8,60.3,45.3,49.5,35.7,16.1,24.3,"32.640685,-116.998081"
Taft College,Taft,CA,12409,77.8,52,57.6,28.3,13.9,31.9,25.2,14.9,"35.149282,-119.459753"
Ventura College,Ventura,CA,20770,65.3,33.5,52.1,56.1,49.1,47,25.8,30,"34.275772,-119.23049"
Victor Valley College,Victorville,CA,16928,65.3,39.1,55.1,48.3,49.7,42,23.6,44.8,"34.471273,-117.263314"
West Hills College Coalinga,Coalinga,CA,4321,61.5,32.1,64.8,41.5,36.1,45.4,27.1,39.7,"36.14984,-120.356869"
West Hills College Lemoore,Lemoore,CA,5734,67.2,38.4,56.8,47.9,42.8,34.8,26.3,44.9,"36.292386,-119.823825"
West Los Angeles College,Culver City,CA,15549,73.6,49.5,67.8,36.6,42.1,33.1,13.2,30.3,"34.00216,-118.3869"
West Valley College,Saratoga,CA,18446,67.6,41.4,24.2,50.9,53.5,50.6,16.3,16.5,"37.265492,-122.011109"
Woodland Community College,Woodland,CA,4057,74,37.7,44.9,37.9,52.6,28.9,20,30.9,"38.658379,-121.734225"
Yuba College,Marysville,CA,10412,61.7,43.3,30.1,53.8,49.6,36.8,19.3,44.2,"39.12604,-121.539624"
Aims Community College,Greeley,CO,7957,59.6,40.5,29.6,54.1,49.3,36.9,26.4,38.3,"40.40955,-104.76275"
Arapahoe Community College,Littleton,CO,23034,77.4,52.3,11.1,36.6,44.6,50,24,42.3,"39.60795,-105.018844"
Colorado Mountain College,Glenwood Springs,CO,10566,69.4,47.2,14.5,59.3,48.4,69.6,26.1,16.3,"39.546536,-107.324688"
Colorado Northwestern Community College,Rangely,CO,2205,61,39,11.7,74.1,44.6,35.4,29.2,21.4,"40.087476,-108.804829"
Community College of Aurora,Aurora,CO,12533,75.8,47,41.2,32.6,44.6,33.7,22.6,56,"39.717622,-104.802944"
Community College of Denver,Denver,CO,19381,77.3,46.8,42,27.9,44.8,30.1,12.7,47.3,"39.741341,-105.005107"
Front Range Community College,Westminster,CO,33649,67.4,45,15.8,37.9,50.3,37.9,20.4,36.4,"39.900936,-105.037804"
Lamar Community College,Lamar,CO,1218,49.4,21.7,28.2,87.3,50.7,46.9,31.9,37.1,"38.068112,-102.616322"
Morgan Community College,Fort  Morgan,CO,2593,74.6,41.8,18.5,35.5,51,33.3,39.9,33.4,"40.260116,-103.772381"
Northeastern Junior College,Sterling,CO,3070,48.7,33.8,12.9,87.4,54,47.3,35.7,33.6,"40.636851,-103.197554"
Otero Junior College,La Junta,CO,2234,51.3,36.2,35.8,74.5,53.1,49.1,33.4,55.8,"37.972345,-103.545945"
Pikes Peak Community College,Colorado Springs,CO,23811,59.7,48.6,21.8,47.5,45.9,29.1,20,28.2,"38.764699,-104.786685"
Pueblo Community College,Pueblo,CO,12872,61.5,56.4,34.9,53.4,46.5,27,25,80.2,"38.263497,-104.636279"
Red Rocks Community College,Lakewood,CO,15127,66.4,51.5,15.2,37.8,44.1,52.1,20.5,33.7,"39.720252,-105.149974"
Trinidad State Junior College,Trinidad,CO,2860,48.1,40.4,44,78,57.7,52,37.8,53.1,"37.173286,-104.514549"
Asnuntuck Community College,Enfield,CT,2541,61.5,42.9,13.5,71.3,59,47.3,30.4,34.4,"41.997745,-72.570022"
Capital Community College,Hartford,CT,6594,73.9,54.5,60.4,53.9,50.9,31.5,31.8,57.3,"41.768148,-72.672398"
Gateway Community College,New Haven,CT,10744,65.7,44.8,38.8,61.7,48.6,28,25.4,44.8,"41.303846,-72.927948"
Housatonic Community College,Bridgeport,CT,8808,62.5,41.6,52.7,62.7,56.4,18,24.1,46.4,"41.175222,-73.191905"
Manchester Community College,Manchester,CT,10445,62.4,32.3,28.1,62,55.4,38,32.7,35.7,"41.761155,-72.563368"
Middlesex Community College,Middletown,CT,4441,61.8,36.7,22.1,67.4,44.8,33.9,31.8,36.8,"41.539604,-72.611224"
Naugatuck Valley Community College,Waterbury,CT,9891,62.5,36.3,29.8,61.8,56.8,30,29.2,36.2,"41.549783,-73.072987"
Northwestern Connecticut Community College,Winsted,CT,2319,70,48.3,9,73.6,53.3,34.2,30,30.5,"41.922663,-73.060467"
Norwalk Community College,Norwalk,CT,9156,65.1,41.7,41.3,66.9,58.2,32.4,24.1,32.2,"41.102998,-73.451824"
Quinebaug Valley Community College,Danielson,CT,3074,68.4,41.5,13.5,56.3,49.4,39.7,28.6,45.8,"41.825444,-71.892557"
Three Rivers Community College,Norwich,CT,6794,68,44.4,21.3,55.5,54.6,30.6,28,41.6,"41.509979,-72.104425"
Tunxis Community College,Farmington,CT,6856,60.8,36.7,20,67,56.6,27.8,24,33.1,"41.705351,-72.878871"
Delaware Technical Community College-Owens,Georgetown,DE,6217,55.8,38,24.8,74.3,54.8,29.7,33.2,13.4,"38.696857,-75.407094"
Delaware Technical Community College-Stanton/Wilmington,Wilmington,DE,10037,61.2,37.6,35,68.3,51.5,23.4,21.6,8.4,"34.225726,-77.94471"
Delaware Technical Community College-Terry,Dover,DE,4658,56.9,45,35.3,72.4,51.8,28.3,29.4,13.2,"39.198386,-75.561764"
